"図鑑番号","ポケモン名","HP","A","B","C","D","S","タイプ１","タイプ２","通常特性１","通常特性２","夢特性","合計","重さ(kg)","体重技威力"
"916","パフュートン_オス","110","100","75","59","80","65","ノ","-","とれないにおい(♂)","くいしんぼう","あついしぼう","","",""
"916","パフュートン_メス","115","90","70","59","90","65","ノ","-","アロマベール(♀)","くいしんぼう","あついしぼう","","",""
"917","タマンチュラ","35","41","45","29","40","20","虫","-","ふみん","-","はりこみ","","",""
"918","ワナイダー","60","79","92","52","86","35","虫","-","ふみん","-","はりこみ","","",""
"919","マメバッタ","33","46","40","21","25","45","虫","-","むしのしらせ","-","いろめがね","","",""
"920","エクスレッグ","71","102","78","52","55","92","虫","悪","むしのしらせ","-","いろめがね","","",""
"921","パモ","45","50","20","40","25","60","電","-","せい電","しぜんかいふく","てつのこぶし","","",""
"922","パモット","60","75","40","50","40","85","電","格","ちくでん","しぜんかいふく","てつのこぶし","","",""
"923","パーモット","70","115","70","70","60","105","電","格","ちくでん","しぜんかいふく","てつのこぶし","","",""
"924","ワッカネズミ","50","50","45","40","45","75","ノ","-","にげあし","ものひろい","マイペース","","",""
"925","イッカネズミ","74","75","70","65","75","111","ノ","-","フレンドガード","ほおぶくろ","テクニシャン","","",""
"926","パピモッチ","37","55","70","30","55","65","妖","-","マイペース","-","ぶきよう","","",""
"927","バウッツェル","57","80","115","50","80","95","妖","-","こんがりボディ","-","アロマベール","","",""
"928","ミニーブ","41","35","45","58","51","30","草","ノ","はやおき","-","しゅうかく","","",""
"929","オリーニョ","52","53","60","78","78","33","草","ノ","はやおき","-","しゅうかく","","",""
"930","オリーヴァ","78","69","90","125","109","39","草","ノ","こぼれダネ","-","しゅうかく","","",""
"931","イキリンコ","82","96","51","45","51","92","ノ","飛","いかく","はりきり","-","","",""
"932","コジオ","55","55","75","35","35","25","岩","-","きよめのしお","がんじょう","クリアボディ","","",""
"933","ジオヅム","60","60","100","35","65","35","岩","-","きよめのしお","がんじょう","クリアボディ","","",""
"934","キョジオーン","100","100","130","45","90","35","岩","-","きよめのしお","がんじょう","クリアボディ","","",""
"935","カルボウ","40","50","40","50","40","35","炎","-","もらいび","-","ほのおのからだ","","",""
"936","グレンアルマ","85","60","100","125","80","75","炎","超","もらいび","-","くだけるよろい","","",""
"937","ソウブレイズ","75","125","80","60","100","85","炎","霊","もらいび","-","くだけるよろい","","",""
"938","ズピカ","61","31","41","59","35","45","電","-","マイペース","せいでんき","しめりけ","","",""
"939","ハラバリー","109","64","91","103","83","45","電","-","でんきにかえる","せいでんき","しめりけ","","",""
"940","カイデン","40","40","35","55","40","70","電","飛","ふうりょく電","ちくでん","かちき","","",""
"941","タイカイデン","70","70","60","105","60","125","電","飛","ふうりょく電","ちくでん","かちき","","",""
"942","オラチフ","60","78","60","40","51","51","悪","-","いかく","にげあし","はりこみ","","",""
"943","マフィティフ","80","120","90","60","70","85","悪","-","いかく","ばんけん","はりこみ","","",""
"944","シルシュルー","40","65","35","40","35","75","毒","ノ","かるわざ","わるいてぐせ","いたずらごころ","","",""
"945","タギングル","63","95","65","80","72","110","毒","ノ","かるわざ","どくしゅ","いたずらごころ","","",""
"946","アノクサ","40","65","30","45","35","60","草","霊","かぜのり","-","すりぬけ","","",""
"947","アノホラグサ","55","115","70","80","70","90","草","霊","かぜのり","-","すりぬけ","","",""
"948","ノノクラゲ","40","40","35","50","100","70","地","草","きんしのちから","-","-","","",""
"949","リククラゲ","80","70","65","80","120","100","地","草","きんしのちから","-","-","","",""
"950","ガケガニ","70","100","115","35","55","75","岩","-","いかりのこうら","シェルアーマー","さいせいりょく","","",""
"951","カプサイジ","50","62","40","62","40","50","草","-","ようりょくそ","ふみん","ぶきよう","","",""
"952","スコヴィラン","65","108","65","108","65","75","草","炎","ようりょくそ","ふみん","ムラっけ","","",""
"953","シガロコ","41","50","60","31","58","30","虫","-","ふくがん","-","だっぴ","","",""
"954","ベラカス","75","50","85","115","100","45","虫","超","シンクロ","-","テレパシー","","",""
"955","ヒラヒナ","30","35","30","55","30","75","超","-","きけんよち","おみとおし","かそく","","",""
"956","クエスパトラ","95","60","60","101","60","105","超","-","びんじょう","おみとおし","かそく","","",""
"957","カヌチャン","50","45","45","35","64","58","妖","鋼","かたやぶり","マイペース","わるいてぐせ","","",""
"958","ナカヌチャン","65","55","55","45","82","78","妖","鋼","かたやぶり","マイペース","わるいてぐせ","","",""
"959","デカヌチャン","85","75","77","70","105","94","妖","鋼","かたやぶり","マイペース","わるいてぐせ","","",""
"960","ウミディグダ","10","55","25","35","25","95","水","-","ぬめぬめ","びびり","すながくれ","","",""
"961","ウミトリオ","35","100","50","50","70","120","水","-","ぬめぬめ","びびり","すながくれ","","",""
"962","オトシドリ","70","103","85","60","85","82","飛","悪","はとむね","するどいめ","岩はこび","","",""
"963","ナミイルカ","70","45","40","45","40","75","水","-","みずのベール","-","-","","",""
"964","イルカマン_ナイーブ","100","70","72","53","62","100","水","-","マイティチェンジ","-","-","","",""
"964-1","イルカマン_マイティ","100","160","97","106","87","100","水","-","マイティチェンジ","-","-","","",""
"965","ブロロン","45","70","63","30","45","47","鋼","毒","ぼうじん","-","スロースタート","","",""
"966","ブロロローム","80","119","90","54","67","90","鋼","毒","ぼうじん","-","フィルター","","",""
"967","モトトカゲ","70","95","65","85","65","121","竜","ノ","だっぴ","-","さいせいりょく","","",""
"968","ミミズズ","70","85","145","60","55","65","鋼","-","どしょく","-","すながくれ","","",""
"969","キラーメ","48","35","42","105","60","60","岩","毒","どくげしょう","-","ふしょく","","",""
"970","キラフロル","83","55","90","130","81","86","岩","毒","どくげしょう","-","ふしょく","","",""
"971","ボチ","50","61","60","30","55","34","霊","-","ものひろい","-","もふもふ","","",""
"972","ハカドッグ","72","101","100","50","97","68","霊","-","すなかき","-","もふもふ","","",""
"973","カラミンゴ","82","115","74","75","64","90","飛","格","きもったま","ちどりあし","きょうえん","","",""
"974","アルクジラ","108","68","45","30","40","43","氷","-","あついしぼう","ゆきがくれ","ちからずく","","",""
"975","ハルクジラ","170","113","65","45","55","73","氷","-","あついしぼう","ゆきかき","ちからずく","","",""
"976","ミガルーサ","90","102","73","78","65","70","水","超","かたやぶり","-","きれあじ","","",""
"977","ヘイラッシャ","150","100","115","65","65","35","水","-","てんねん","どんかん","みずのベール","","",""
"978","シャリタツ","68","50","60","120","95","82","竜","水","しれいとう","-","よびみず","","",""
"979","コノヨザル","110","115","80","50","90","90","格","霊","やるき","せいしんりょく","まけんき","","",""
"980","ドオー","130","75","60","45","100","20","毒","地","どくのトゲ","ちょすい","てんねん","","",""
"981","リキキリン","120","90","70","110","70","60","ノ","超","はんすう","テイルアーマー","そうしょく","","",""
"982","ノココッチ","125","100","80","85","75","55","ノ","-","てんのめぐみ","にげあし","びびり","","",""
"983","ドドゲザン","100","135","120","60","85","50","悪","鋼","まけんき","そうだいしょう","プレッシャー","","",""
"984","イダイナキバ","115","131","131","53","53","87","地","格","こだいかっせい","-","-","","",""
"985","サケブシッポ","115","65","99","65","115","111","妖","超","こだいかっせい","-","-","","",""
"986","アラブルタケ","111","127","99","79","99","55","草","悪","こだいかっせい","-","-","","",""
"987","ハバタクカミ","55","55","55","135","135","135","霊","妖","こだいかっせい","-","-","","",""
"988","チヲハウハネ","85","135","79","85","105","81","虫","格","こだいかっせい","-","-","","",""
"989","スナノケガワ","85","81","97","121","85","101","電","地","こだいかっせい","-","-","","",""
"990","テツノワダチ","90","112","120","72","70","106","地","鋼","クォークチャージ","-","-","","",""
"991","テツノツツミ","56","80","114","124","60","136","氷","水","クォークチャージ","-","-","","",""
"992","テツノカイナ","154","140","108","50","68","50","格","電","クォークチャージ","-","-","","",""
"993","テツノコウベ","94","80","86","122","80","108","悪","飛","クォークチャージ","-","-","","",""
"994","テツノドクガ","80","70","60","140","110","110","炎","毒","クォークチャージ","-","-","","",""
"995","テツノイバラ","100","134","110","70","84","72","岩","電","クォークチャージ","-","-","","",""
"996","セビエ","65","75","45","35","45","55","竜","氷","ねつこうかん","-","アイスボディ","","",""
"997","セゴール","90","95","66","45","65","62","竜","氷","ねつこうかん","-","アイスボディ","","",""
"998","セグレイブ","115","145","92","75","86","87","竜","氷","ねつこうかん","-","アイスボディ","","",""
"999","コレクレー_とほ","45","30","25","75","45","80","霊","-","にげあし(とほフォルム)","-","-","","",""
"999-1","コレクレー_はこ","45","30","70","75","70","10","霊","-","びびり(はこフォルム)","-","-","","",""
"1000","サーフゴー","87","60","95","133","91","84","鋼","霊","おうごんのからだ","-","-","","",""
"1001","チオンジェン","85","85","100","95","135","70","悪","草","わざわいのおふだ","-","-","","",""
"1002","パオジアン","80","120","80","90","65","135","悪","氷","わざわいのつるぎ","-","-","","",""
"1003","ディンルー","155","110","125","55","80","45","悪","地","わざわいのうつわ","-","-","","",""
"1004","イーユイ","55","80","80","135","120","100","悪","炎","わざわいのたま","-","-","","",""
"1005","トドロクツキ","105","139","71","55","101","119","竜","悪","こだいかっせい","-","-","","",""
"1006","テツノブジン","74","130","90","120","60","116","妖","格","クォークチャージ","-","-","","",""
"1007","コライドン","100","135","115","85","100","135","格","竜","ひひいろのこどう","-","-","","",""
"1008","ミライドン","100","85","100","135","115","135","電","竜","ハドロンエンジン","-","-","","",""
"128_1","ケンタロスP","75","110","105","30","70","100","格","-","いかく","いかりのつぼ","はんすう","","",""
"128_2","ケンタロスP水","75","110","105","30","70","100","格","水","いかく","いかりのつぼ","はんすう","","",""
"128_3","ケンタロスP炎","75","110","105","30","70","100","格","炎","いかく","いかりのつぼ","はんすう","","",""
"194_1","ウパーP","55","45","45","25","25","15","毒","地","どくのトゲ","ちょすい","てんねん","","",""
